"ID","Sources","Emissions","Periods","EmissionsDutchTerritory_1"
"0","A025421","A044109","1990JJ00"," 32893.0"
"1","A025421","A044109","1991JJ00"," 32501.0"
"2","A025421","A044109","1992JJ00"," 33815.0"
"3","A025421","A044109","1993JJ00"," 33939.0"
"4","A025421","A044109","1994JJ00"," 34460.0"
"5","A025421","A044109","1995JJ00"," 34869.0"
"6","A025421","A044109","1996JJ00"," 35283.0"
"7","A025421","A044109","1997JJ00"," 36246.0"
"8","A025421","A044109","1998JJ00"," 36724.0"
"9","A025421","A044109","1999JJ00"," 38321.0"
"10","A025421","A044109","2000JJ00"," 38919.0"
"11","A025421","A044109","2001JJ00"," 39421.0"
"12","A025421","A044109","2002JJ00"," 39676.0"
"13","A025421","A044109","2003JJ00"," 40168.0"
"14","A025421","A044109","2004JJ00"," 40837.0"
"15","A025421","A044109","2005JJ00"," 40978.0"
"16","A025421","A044109","2006JJ00"," 41283.0"
"17","A025421","A044109","2007JJ00"," 41449.0"
"18","A025421","A044109","2008JJ00"," 41210.0"
"19","A025421","A044109","2009JJ00"," 40495.0"
"20","A025421","A044109","2010JJ00"," 40489.0"
"21","A025421","A044109","2011JJ00"," 40952.0"
"22","A025421","A044109","2012JJ00"," 40408.0"
"23","A025421","A044109","2013JJ00"," 39378.0"
"24","A025421","A044109","2014JJ00"," 39788.0"
"25","A025421","A044109","2015JJ00"," 40655.0"
"26","A025421","A044109","2016JJ00"," 40317.0"
"27","A025421","A044109","2017JJ00"," 39799.0"
"28","A025421","A044109","2018JJ00"," 40194.0"
"29","A025421","A044109","2019JJ00"," 40350.0"
"30","A025421","A044109","2020JJ00"," 36170.0"
"31","A025421","A044108","1990JJ00","   776.2"
"32","A025421","A044108","1991JJ00","   684.8"
"33","A025421","A044108","1992JJ00","   664.4"
"34","A025421","A044108","1993JJ00","   622.7"
"35","A025421","A044108","1994JJ00","   592.6"
"36","A025421","A044108","1995JJ00","   574.7"
"37","A025421","A044108","1996JJ00","   560.8"
"38","A025421","A044108","1997JJ00","   537.5"
"39","A025421","A044108","1998JJ00","   517.0"
"40","A025421","A044108","1999JJ00","   509.2"
"41","A025421","A044108","2000JJ00","   492.7"
"42","A025421","A044108","2001JJ00","   491.0"
"43","A025421","A044108","2002JJ00","   494.0"
"44","A025421","A044108","2003JJ00","   495.9"
"45","A025421","A044108","2004JJ00","   496.3"
"46","A025421","A044108","2005JJ00","   482.3"
"47","A025421","A044108","2006JJ00","   471.8"
"48","A025421","A044108","2007JJ00","   463.0"
"49","A025421","A044108","2008JJ00","   454.5"
"50","A025421","A044108","2009JJ00","   448.4"
"51","A025421","A044108","2010JJ00","   444.3"
"52","A025421","A044108","2011JJ00","   439.6"
"53","A025421","A044108","2012JJ00","   430.4"
"54","A025421","A044108","2013JJ00","   418.6"
"55","A025421","A044108","2014JJ00","   411.1"
"56","A025421","A044108","2015JJ00","   404.3"
"57","A025421","A044108","2016JJ00","   427.6"
"58","A025421","A044108","2017JJ00","   447.3"
"59","A025421","A044108","2018JJ00","   477.1"
"60","A025421","A044108","2019JJ00","   474.9"
"61","A025421","A044108","2020JJ00","   413.4"
"62","A025421","A044116","1990JJ00","   173.8"
"63","A025421","A044116","1991JJ00","   148.6"
"64","A025421","A044116","1992JJ00","   140.7"
"65","A025421","A044116","1993JJ00","   129.5"
"66","A025421","A044116","1994JJ00","   121.2"
"67","A025421","A044116","1995JJ00","   114.0"
"68","A025421","A044116","1996JJ00","   107.7"
"69","A025421","A044116","1997JJ00","   100.4"
"70","A025421","A044116","1998JJ00","    94.4"
"71","A025421","A044116","1999JJ00","    89.5"
"72","A025421","A044116","2000JJ00","    79.9"
"73","A025421","A044116","2001JJ00","    74.6"
"74","A025421","A044116","2002JJ00","    70.4"
"75","A025421","A044116","2003JJ00","    66.8"
"76","A025421","A044116","2004JJ00","    64.1"
"77","A025421","A044116","2005JJ00","    61.4"
"78","A025421","A044116","2006JJ00","    58.9"
"79","A025421","A044116","2007JJ00","    55.7"
"80","A025421","A044116","2008JJ00","    54.8"
"81","A025421","A044116","2009JJ00","    52.3"
"82","A025421","A044116","2010JJ00","    49.6"
"83","A025421","A044116","2011JJ00","    47.9"
"84","A025421","A044116","2012JJ00","    45.4"
"85","A025421","A044116","2013JJ00","    43.3"
"86","A025421","A044116","2014JJ00","    41.6"
"87","A025421","A044116","2015JJ00","    40.8"
"88","A025421","A044116","2016JJ00","    39.2"
"89","A025421","A044116","2017JJ00","    38.3"
"90","A025421","A044116","2018JJ00","    37.8"
"91","A025421","A044116","2019JJ00","    37.2"
"92","A025421","A044116","2020JJ00","    37.4"
"93","A025421","A044117","1990JJ00","    39.8"
"94","A025421","A044117","1991JJ00","    36.3"
"95","A025421","A044117","1992JJ00","    33.8"
"96","A025421","A044117","1993JJ00","    32.4"
"97","A025421","A044117","1994JJ00","    30.5"
"98","A025421","A044117","1995JJ00","    26.5"
"99","A025421","A044117","1996JJ00","    23.2"
"100","A025421","A044117","1997JJ00","    21.0"
"101","A025421","A044117","1998JJ00","    18.5"
"102","A025421","A044117","1999JJ00","    16.4"
"103","A025421","A044117","2000JJ00","    13.4"
"104","A025421","A044117","2001JJ00","    11.9"
