"ID";"ClassOfVehicleAge";"Periods";"TotalRoadVehicles_1";"PassengerCar_2";"TotalCommercialVehicles_3";"TotalCommercialMotorVehicles_4";"DeliveryVan_5";"Lorry_6";"RoadTractor_7";"SpecialPurposeVehicle_8";"Bus_9";"TotalTrailersAndSemiTrailers_10";"Trailer_11";"SemiTrailer_12";"Motorcycle_13"
"0";"10000  ";"2000JJ00";" 7640776";" 6343164";"  883627";"  883627";"  696135";"   83153";"   56759";"   36374";"   11206";"";"";"";"  413985"
"1";"10000  ";"2001JJ00";" 7926892";" 6539040";"  950074";"  950074";"  755776";"   83418";"   59804";"   39707";"   11369";"";"";"";"  437778"
"2";"10000  ";"2002JJ00";" 8168344";" 6710595";"  996931";"  996931";"  797594";"   82706";"   62013";"   43292";"   11326";"";"";"";"  460818"
"3";"10000  ";"2003JJ00";" 8387745";" 6854947";" 1038548";" 1038548";"  835710";"   81668";"   62889";"   46899";"   11382";"";"";"";"  494250"
"4";"10000  ";"2004JJ00";" 9324217";" 6908890";" 1898932";" 1070214";"  866753";"   79444";"   63445";"   49228";"   11344";"  828718";"  721626";"  107092";"  516395"
"5";"10000  ";"2005JJ00";" 9521575";" 6991974";" 1992670";" 1098275";"  893455";"   77619";"   64519";"   51451";"   11231";"  894395";"  782035";"  112360";"  536931"
"6";"10000  ";"2006JJ00";" 9652941";" 7092293";" 2007699";" 1070605";"  862974";"   75924";"   65608";"   55104";"   10995";"  937094";"  820035";"  117059";"  552949"
"7";"10000  ";"2007JJ00";" 9835793";" 7230178";" 2037704";" 1064846";"  849348";"   75841";"   70544";"   58268";"   10845";"  972858";"  853482";"  119376";"  567911"
"8";"10000  ";"2008JJ00";"10067576";" 7391903";" 2090469";" 1082523";"  862303";"   75313";"   72786";"   61030";"   11091";" 1007946";"  881919";"  126027";"  585204"
"9";"10000  ";"2009JJ00";"10288216";" 7542331";" 2140281";" 1101432";"  876170";"   75112";"   74624";"   64194";"   11332";" 1038849";"  905955";"  132894";"  605604"
"10";"10000  ";"2010JJ00";"10396746";" 7622353";" 2150951";" 1094211";"  872355";"   73368";"   71560";"   65294";"   11634";" 1056740";"  924118";"  132622";"  623442"
"11";"10000  ";"2011JJ00";"10522896";" 7735547";" 2151150";" 1079993";"  861250";"   71386";"   71329";"   64751";"   11277";" 1071157";"  938857";"  132300";"  636199"
"12";"10000  ";"2012JJ00";"10656190";" 7858712";" 2150483";" 1065799";"  849666";"   69545";"   71487";"   64115";"   10986";" 1084684";"  952350";"  132334";"  646995"
"13";"10000  ";"2013JJ00";"10704447";" 7915613";" 2135589";" 1043415";"  832121";"   67096";"   70422";"   63312";"   10464";" 1092174";"  960631";"  131543";"  653245"
"14";"10000  ";"2014JJ00";"10706674";" 7932290";" 2120393";" 1023614";"  815169";"   65046";"   71063";"   62414";"    9922";" 1096779";"  964889";"  131890";"  653991"
"15";"10000  ";"2015JJ00";"10757655";" 7979083";" 2126236";" 1019585";"  814954";"   63356";"   70533";"   61145";"    9597";" 1106651";"  970962";"  135689";"  652336"
"16";"10000  ";"2016JJ00";"10908581";" 8100864";" 2155173";" 1032819";"  828383";"   62436";"   72245";"   60344";"    9411";" 1122354";"  979377";"  142977";"  652544"
"17";"10000  ";"2017JJ00";"11076215";" 8222974";" 2197250";" 1058767";"  852632";"   62155";"   74218";"   59940";"    9822";" 1138483";"  989453";"  149030";"  655991"
"18";"10000  ";"2018JJ00";"11287017";" 8373244";" 2252134";" 1092291";"  883350";"   62581";"   77075";"   59371";"    9914";" 1159843";" 1002771";"  157072";"  661639"
"19";"10000  ";"2019JJ00";"11495837";" 8530584";" 2299373";" 1126630";"  914766";"   62963";"   80078";"   59106";"    9717";" 1172743";" 1008731";"  164012";"  665880"
"20";"10000  ";"2020JJ00";"11703420";" 8677911";" 2345661";" 1152931";"  939801";"   63081";"   81553";"   58620";"    9876";" 1192730";" 1024217";"  168513";"  679848"
"21";"10000  ";"2021JJ00";"11864930";" 8793592";" 2371236";" 1171586";"  960130";"   62491";"   81179";"   58509";"    9277";" 1199650";" 1029636";"  170014";"  700102"
"22";"A028285";"2000JJ00";"  734075";"  600451";"  116707";"  116707";"   98472";"    7173";"    8236";"    2251";"     575";"";"";"";"   16917"
"23";"A028285";"2001JJ00";"  714885";"  583333";"  113456";"  113456";"   95049";"    7034";"    8539";"    2048";"     786";"";"";"";"   18096"
"24";"A028285";"2002JJ00";"  632629";"  516357";"  100366";"  100366";"   82359";"    6500";"    8751";"    2024";"     732";"";"";"";"   15906"
"25";"A028285";"2003JJ00";"  610321";"  500289";"   94150";"   94150";"   79201";"    5525";"    6941";"    1814";"     669";"";"";"";"   15882"
"26";"A028285";"2004JJ00";"  624622";"  465935";"  142947";"   88425";"   74435";"    4690";"    6926";"    1504";"     870";"   54522";"   47035";"    7487";"   15740"
"27";"A028285";"2005JJ00";"  641619";"  472187";"  153369";"  100455";"   85626";"    4427";"    8122";"    1334";"     946";"   52914";"   43706";"    9208";"   16063"
"28";"A028285";"2006JJ00";"  598999";"  455020";"  129770";"   79592";"   64408";"    4722";"    8025";"    1297";"    1140";"   50178";"   40186";"    9992";"   14209"
