Variable:,pr
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Netherlands,790.94,69.24,54.81,53.84,38.97,54.43,66.56,77.58,77.95,69.89,75.37,72.97,79.33
Flevoland,804.41,69.16,55.10,52.41,40.11,55.23,66.44,78.49,82.55,73.58,76.73,73.74,80.87
Drenthe,765.94,68.29,52.39,52.36,37.92,52.99,65.16,80.53,73.98,66.59,73.32,68.45,73.97
Zuid-holland,828.57,72.10,57.52,54.19,39.18,51.84,66.74,76.91,84.01,76.66,84.30,80.97,84.16
Zeeland,804.26,68.74,57.73,51.55,40.27,52.96,67.40,75.40,79.74,67.85,82.30,77.44,82.88
Utrecht,823.71,73.46,57.74,55.62,39.77,54.61,65.29,75.36,81.96,74.70,80.83,79.56,84.81
Overijssel,758.28,68.10,50.92,53.28,38.19,54.60,64.80,78.32,73.51,64.62,69.39,66.95,75.61
Noord-holland,819.40,70.57,53.93,51.12,37.38,48.06,56.93,72.55,84.53,83.66,89.04,86.90,84.72
Noord-brabant,798.60,69.58,58.19,56.42,39.91,56.76,70.57,76.37,76.74,67.43,72.94,72.71,80.98
Limburg,779.91,65.97,58.23,56.52,42.77,61.18,71.91,78.66,72.54,61.80,64.27,66.67,79.40
Groningen,795.42,69.89,53.25,51.61,38.00,52.54,66.45,83.19,81.02,70.89,80.57,72.95,75.05
Gelderland,773.29,68.57,54.17,55.29,39.11,56.81,67.54,76.01,75.77,65.10,67.67,67.83,79.45
Friesland,808.68,70.80,53.31,51.37,37.06,51.37,64.47,79.13,81.26,78.81,84.59,78.53,78.00
