Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Netherlands,10.40,3.40,3.69,6.41,9.44,13.19,15.82,18.07,18.02,14.66,10.78,6.92,4.43
Flevoland,10.29,3.37,3.64,6.32,9.19,13.04,15.59,17.89,17.87,14.49,10.66,6.91,4.51
Drenthe,9.96,2.86,3.20,5.91,9.09,12.80,15.38,17.64,17.72,14.30,10.32,6.45,3.89
Zuid-holland,10.67,3.94,4.08,6.70,9.59,13.20,15.89,18.17,18.06,14.93,11.10,7.42,4.92
Zeeland,11.10,4.28,4.50,7.05,10.04,13.53,16.43,18.61,18.61,15.57,11.72,7.84,5.08
Utrecht,10.47,3.56,3.79,6.52,9.43,13.23,15.86,18.09,17.96,14.64,10.89,7.05,4.56
Overijssel,10.25,3.17,3.55,6.30,9.34,13.15,15.67,17.93,17.94,14.43,10.53,6.67,4.28
Noord-holland,10.45,3.75,3.89,6.33,9.31,12.78,15.53,17.79,17.81,14.87,11.18,7.48,4.72
Noord-brabant,10.74,3.72,3.99,6.82,9.78,13.62,16.29,18.53,18.35,14.87,11.00,7.13,4.72
Limburg,10.85,3.38,3.87,6.86,10.12,13.99,16.82,18.87,18.69,15.12,11.24,6.98,4.22
Groningen,9.77,2.65,2.98,5.65,8.93,12.51,15.18,17.42,17.51,14.31,10.27,6.29,3.62
Gelderland,10.47,3.37,3.75,6.57,9.53,13.44,16.01,18.23,18.16,14.59,10.72,6.79,4.49
Friesland,10.05,3.28,3.48,5.94,8.89,12.52,15.09,17.50,17.58,14.42,10.55,6.89,4.43
