Variable:,tasmin
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Netherlands,6.46,0.90,0.68,2.52,4.54,8.18,10.99,13.24,13.02,10.17,7.05,4.12,2.05
Flevoland,6.36,0.88,0.62,2.45,4.28,8.01,10.79,13.10,12.89,10.02,6.96,4.11,2.17
Drenthe,5.89,0.28,0.20,1.97,4.07,7.59,10.34,12.61,12.49,9.61,6.46,3.55,1.48
Zuid-holland,6.94,1.55,1.15,2.95,5.00,8.51,11.36,13.68,13.44,10.73,7.62,4.75,2.58
Zeeland,7.59,2.01,1.68,3.54,5.69,9.19,12.13,14.35,14.25,11.58,8.44,5.29,2.84
Utrecht,6.52,1.07,0.69,2.59,4.53,8.22,11.02,13.27,13.05,10.15,7.17,4.28,2.16
Overijssel,6.18,0.65,0.52,2.32,4.30,7.95,10.69,12.89,12.67,9.81,6.69,3.80,1.92
Noord-holland,7.07,1.51,1.24,2.97,5.09,8.61,11.39,13.79,13.71,11.03,7.96,5.00,2.54
Noord-brabant,6.64,1.13,0.78,2.72,4.71,8.47,11.32,13.52,13.17,10.24,7.13,4.23,2.24
Limburg,6.69,0.72,0.62,2.72,4.97,8.79,11.69,13.72,13.46,10.43,7.30,4.07,1.78
Groningen,5.80,0.13,0.07,1.85,4.05,7.41,10.21,12.53,12.44,9.69,6.51,3.46,1.19
Gelderland,6.36,0.84,0.63,2.51,4.40,8.21,10.98,13.09,12.83,9.92,6.85,3.93,2.11
Friesland,6.34,0.87,0.68,2.32,4.28,7.76,10.59,13.07,12.96,10.23,7.05,4.14,2.13
