year,month,ratio
1958,3,0.085841807
1958,4,0.086314915
1958,5,0.08632851
1958,6,0.086219749
1958,7,0.085882592
1958,8,0.085629725
1958,9,0.085159336
1958,10,0.08501251
1958,11,0.085194683
1958,12,0.08555903
1959,1,0.083239927
1959,2,0.083440366
1959,3,0.083527398
1959,4,0.08379377
1959,5,0.083944099
1959,6,0.083907176
1959,7,0.083482563
1959,8,0.083023665
1959,9,0.08277048
1959,10,0.082617514
1959,11,0.083023665
1959,12,0.083229378
1960,1,0.083207771
1960,2,0.083349768
1960,3,0.083510173
1960,4,0.083888832
1960,5,0.084154419
1960,6,0.084038718
1960,7,0.083667947
1960,8,0.083071033
1960,9,0.082610856
1960,10,0.08252408
1960,11,0.082831741
1960,12,0.083144661
1961,1,0.083147718
1961,2,0.08334973
1961,3,0.083570107
1961,4,0.08381672
1961,5,0.084105309
1961,6,0.083892802
1961,7,0.083577978
1961,8,0.083110989
1961,9,0.082588905
1961,10,0.08274107
1961,11,0.082929965
1961,12,0.083168706
1962,1,0.083199657
1962,2,0.0833619
1962,3,0.083654986
1962,4,0.083903585
1962,5,0.084003025
1962,6,0.083882651
1962,7,0.083628818
1962,8,0.083058348
1962,9,0.082760028
1962,10,0.082540214
1962,11,0.082872552
1962,12,0.083134236
1963,1,0.083266935
1963,2,0.083355756
1963,3,0.083559522
1963,4,0.083959216
1963,5,0.08418388
1963,6,0.083980115
1963,7,0.083528173
1963,8,0.083013535
1963,9,0.082606004
1963,10,0.082548531
1963,11,0.08284373
1963,12,0.083154603
1964,1,0.083320949
1964,2,0.083451313
1964,3,0.083623394
1964,4,0.083894551
1964,5,0.084019701
1964,6,0.083925838
1964,7,0.083547782
1964,8,0.083094115
1964,9,0.082572658
1964,10,0.082596124
1964,11,0.082856852
1964,12,0.083096722
1965,1,0.08317602
1965,2,0.083436401
1965,3,0.083553572
1965,4,0.083876444
1965,5,0.083884256
1965,6,0.083808745
1965,7,0.083683762
1965,8,0.08301198
1965,9,0.082751599
1965,10,0.082618805
1965,11,0.083027603
1965,12,0.083170812
1966,1,0.083135404
1966,2,0.083386921
1966,3,0.083594358
1966,4,0.083978115
1966,5,0.084014417
1966,6,0.083947
1966,7,0.083594358
1966,8,0.08307058
1966,9,0.082621999
1966,10,0.082481979
1966,11,0.082920189
1966,12,0.08325468
1967,1,0.083310699
1967,2,0.083421929
1967,3,0.083561612
1967,4,0.08391858
