EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 18-11-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

  520,101920,SCHELLINGWOUDE                          ,NL,+52:23:00,+004:58:00,  -1, RR2,19311231,20211009,   19,Philippe Steeghs                                  
  520,102007,WEESP                                   ,NL,+52:18:00,+005:02:00,  -2, RR2,19501231,20211009,   19,Philippe Steeghs                                  
  520,209327,HEMBRUG                                 ,NL,+52:25:08,+004:49:39,   2, RR2,19181102,19490830,   19,Philippe Steeghs                                  
  520,209439,ZAANDAM                                 ,NL,+52:26:32,+004:49:16,   0, RR2,18661108,19130329,   19,Philippe Steeghs                                  
 2358,101920,SCHELLINGWOUDE                          ,NL,+52:23:00,+004:58:00,  -1, RR2,19311231,20211009,   19,Philippe Steeghs                                  
 2358,108974,AMSTERDAM                               ,NL,+52:22:00,+004:55:00,   1, RR2,19311231,20141230,   19,Philippe Steeghs                                  
 2358,109368,ZAANDAM (HEMBRUG)                       ,NL,+52:25:00,+004:50:00,  18, RR2,19501231,20211009,   19,Philippe Steeghs                                  
 2358,152485,SCHIPHOL                                ,NL,+52:18:56,+004:47:25,  -3, RR7,19710101,20211031,   19,Philippe Steeghs                                  
 2358,209327,HEMBRUG                                 ,NL,+52:25:08,+004:49:39,   2, RR2,19181102,19490830,   19,Philippe Steeghs                                  
