EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 18-11-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 108974) of NETHERLANDS, AMSTERDAM (STAID: 2358)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
  2358,108974,19311201,-9999,    9
  2358,108974,19311202,-9999,    9
  2358,108974,19311203,-9999,    9
  2358,108974,19311204,-9999,    9
  2358,108974,19311205,-9999,    9
  2358,108974,19311206,-9999,    9
  2358,108974,19311207,-9999,    9
  2358,108974,19311208,-9999,    9
  2358,108974,19311209,-9999,    9
  2358,108974,19311210,-9999,    9
  2358,108974,19311211,-9999,    9
  2358,108974,19311212,-9999,    9
  2358,108974,19311213,-9999,    9
  2358,108974,19311214,-9999,    9
  2358,108974,19311215,-9999,    9
  2358,108974,19311216,-9999,    9
  2358,108974,19311217,-9999,    9
  2358,108974,19311218,-9999,    9
  2358,108974,19311219,-9999,    9
  2358,108974,19311220,-9999,    9
  2358,108974,19311221,-9999,    9
  2358,108974,19311222,-9999,    9
  2358,108974,19311223,-9999,    9
  2358,108974,19311224,-9999,    9
  2358,108974,19311225,-9999,    9
  2358,108974,19311226,-9999,    9
  2358,108974,19311227,-9999,    9
  2358,108974,19311228,-9999,    9
  2358,108974,19311229,-9999,    9
  2358,108974,19311230,-9999,    9
  2358,108974,19311231,    1,    0
  2358,108974,19320101,   30,    0
  2358,108974,19320102,   51,    0
  2358,108974,19320103,   41,    0
  2358,108974,19320104,    2,    0
  2358,108974,19320105,   86,    0
  2358,108974,19320106,  225,    0
  2358,108974,19320107,    9,    0
  2358,108974,19320108,    2,    0
  2358,108974,19320109,    0,    0
  2358,108974,19320110,   29,    0
  2358,108974,19320111,   21,    0
  2358,108974,19320112,    0,    0
  2358,108974,19320113,   27,    0
  2358,108974,19320114,    9,    0
  2358,108974,19320115,    1,    0
  2358,108974,19320116,    4,    0
  2358,108974,19320117,    1,    0
  2358,108974,19320118,    7,    0
  2358,108974,19320119,    3,    0
  2358,108974,19320120,    2,    0
  2358,108974,19320121,    2,    0
  2358,108974,19320122,    0,    0
  2358,108974,19320123,    2,    0
  2358,108974,19320124,    1,    0
  2358,108974,19320125,    0,    0
  2358,108974,19320126,    0,    0
  2358,108974,19320127,    0,    0
  2358,108974,19320128,    0,    0
  2358,108974,19320129,    3,    0
  2358,108974,19320130,    3,    0
  2358,108974,19320131,    0,    0
  2358,108974,19320201,    4,    0
  2358,108974,19320202,    0,    0
  2358,108974,19320203,    5,    0
  2358,108974,19320204,    5,    0
  2358,108974,19320205,    0,    0
  2358,108974,19320206,    0,    0
  2358,108974,19320207,    0,    0
  2358,108974,19320208,   11,    0
  2358,108974,19320209,    2,    0
  2358,108974,19320210,    0,    0
  2358,108974,19320211,    1,    0
  2358,108974,19320212,    0,    0
  2358,108974,19320213,   18,    0
  2358,108974,19320214,    6,    0
  2358,108974,19320215,    5,    0
  2358,108974,19320216,    1,    0
  2358,108974,19320217,    2,    0
  2358,108974,19320218,    0,    0
  2358,108974,19320219,    0,    0
  2358,108974,19320220,    0,    0
  2358,108974,19320221,   12,    0
  2358,108974,19320222,    4,    0
  2358,108974,19320223,   14,    0
  2358,108974,19320224,   11,    0
  2358,108974,19320225,    0,    0
  2358,108974,19320226,    0,    0
  2358,108974,19320227,    0,    0
  2358,108974,19320228,    0,    0
  2358,108974,19320229,    0,    0
  2358,108974,19320301,    0,    0
  2358,108974,19320302,    0,    0
  2358,108974,19320303,    0,    0
  2358,108974,19320304,    0,    0
  2358,108974,19320305,    6,    0
  2358,108974,19320306,    3,    0
  2358,108974,19320307,   67,    0
  2358,108974,19320308,   16,    0
  2358,108974,19320309,    2,    0
  2358,108974,19320310,   20,    0
  2358,108974,19320311,    0,    0
  2358,108974,19320312,    0,    0
  2358,108974,19320313,    0,    0
  2358,108974,19320314,    0,    0
  2358,108974,19320315,    0,    0
  2358,108974,19320316,    1,    0
  2358,108974,19320317,    0,    0
  2358,108974,19320318,    0,    0
  2358,108974,19320319,    0,    0
  2358,108974,19320320,    0,    0
