NUMMER,LABEL,AANTAL_ELEKTRISCHE_KILOMETERS,LITER_BENZINE_BESPAARD,AANTAL_UREN_ZEEUWSE_WINDMOLENS,AANTAL_GRAM_CO2_BESPAARD,ADRES,BUURTNR,BUURTCODE,BUURTNAAM,XCOORD,YCOORD,COUNTER,X,Y,LONG,LAT
1,DHPR0201,101591,6773,47,16200381,Zwarte Pad 2A,70,BU05180170,Oostenduinen,79848,459397,1,79848,459397,4.289.931.218.521.720,5.211.768.377.414.800
2,DHPR0202,84466,5631,39,13469461,Zwarte Pad 2A,70,BU05180170,Oostenduinen,79843,459391,2,79843,459391,4.289.859.552.102.920,5.211.762.917.493.070
3,DHPR0301,58853,3924,27,9385136,Aegonplein 40A,61,BU05182561,Landen,85265,456299,3,85265,456299,4.369.644.837.976.560,520.905.519.648.101
4,DHPR0302,60870,4058,28,9706808,Aegonplein 40A,61,BU05182561,Landen,85270,456303,4,85270,456303,4.369.716.967.955.120,5.209.058.854.213.520
5,DHPR0401,19353,1290,9,3086125,Lozerlaan 453,99,BU05183399,De Uithof,76670,450714,5,76670,450714,4.245.532.184.978.310,5.203.921.231.008.610
6,DHPR0501,115163,7678,53,18364729,Jaap Edenweg 10A,99,BU05183399,De Uithof,76223,450671,6,76223,450671,423.902.825.113.775,52.038.762.548.825.300
7,DHPR0502,110837,7389,51,17674805,Jaap Edenweg 10A,99,BU05183399,De Uithof,76216,450671,7,76216,450671,42.389.262.457.192.900,5.203.876.155.413.040
8,DHPR0601,89554,5970,41,14280889,Ypenburgse Stationsweg 160,111,BU05184211,De Venen,86594,452380,8,86594,452380,438.981.996.091.773,52.055.497.959.269.600
9,DHSSC001,44188,2946,20,7046585,Haags Kwartier 29A,117,BU05184317,De Rivieren,86040,453102,9,86040,453102,4.381.597.860.756.150,5.206.191.786.854.930
10,DHSSC002,27309,1821,13,4354893,Haags Kwartier 29B,117,BU05184317,De Rivieren,86040,453102,10,86040,453102,4.381.597.860.756.150,5.206.191.786.854.930
11,DHSSC003,13639,909,6,2174940,Haags Kwartier 29C,117,BU05184317,De Rivieren,86040,453102,11,86040,453102,4.381.597.860.756.150,5.206.191.786.854.930
12,DHSSC004,8044,536,4,1282759,Haags Kwartier 29D,117,BU05184317,De Rivieren,86040,453102,12,86040,453102,4.381.597.860.756.150,5.206.191.786.854.930
13,DHSSC005,12457,830,6,1986398,Haags Kwartier 29E,117,BU05184317,De Rivieren,86040,453102,13,86040,453102,4.381.597.860.756.150,5.206.191.786.854.930
15,DHSSC007,134,9,0,21386,Haags Kwartier 29,117,BU05184317,De Rivieren,8.595.314.162,4.531.170.391,15,8.595.314.162,4.531.170.391,4.380.328.399.466.920,5.206.204.220.613.270
17,DHSSC009,279,19,0,44509,Haags Kwartier 29,117,BU05184317,De Rivieren,8.595.314.162,4.531.170.391,17,8.595.314.162,4.531.170.391,4.380.328.399.466.920,5.206.204.220.613.270
18,DHSSC012,237,16,0,37864,Haags Kwartier 29,117,BU05184317,De Rivieren,8.595.314.162,4.531.170.391,18,8.595.314.162,4.531.170.391,4.380.328.399.466.920,5.206.204.220.613.270
20,DHSSC014,239,16,0,38077,Haags Kwartier 29,117,BU05184317,De Rivieren,8.595.314.162,4.531.170.391,20,8.595.314.162,4.531.170.391,4.380.328.399.466.920,5.206.204.220.613.270
21,DHSSC015,45,3,0,7176,Haags Kwartier 29,117,BU05184317,De Rivieren,8.595.314.162,4.531.170.391,21,8.595.314.162,4.531.170.391,4.380.328.399.466.920,5.206.204.220.613.270
23,GDH001,213218,14215,98,34001140,Van Bleiswijkstraat 150,7,BU05180907,Statenkwartier,79120,456737,23,79120,456737,427.989.618.314.427,52.093.679.928.622.300
24,GDH002,108602,7240,50,17318445,Koningin Emmakade 197,43,BU05181143,Sweelinckplein e.o.,79325,455740,24,79325,455740,4.283.108.435.957.290,5.208.474.828.273.250
25,GDH003,99900,6660,46,15930651,Copernicusplein 15,55,BU05182055,Valkenboskwartier,78801,454767,25,78801,454767,4.275.681.987.126.330,5.207.593.238.980.700
26,GDH004,15294,1020,7,2438830,Azaleastraat t.o 130,51,BU05181251,Bloemenbuurt-oost,77942,454801,26,77942,454801,4.263.146.297.206.860,5.207.611.907.913.820
27,GDH005,81622,5441,38,13016027,Brasemdaal 1,97,BU05181697,Kraayenstein en Vroondaal,76284,451389,27,76284,451389,4.239.751.822.115.600,5.204.522.361.297.790
