year;fuel_type;emission
1851;coal;3118064
1852;coal;3762928
1853;coal;4169632
1854;coal;5946672
1855;coal;4649616
1856;coal;4722896
1857;coal;4217264
1858;coal;3707968
1859;coal;3524768
1860;coal;4796176
1861;coal;4404128
1862;coal;5671872
1863;coal;4074368
1864;coal;3378208
1865;coal;3828880
1866;coal;4187952
1867;coal;4004752
1868;coal;4191616
1869;coal;4323520
1870;coal;4887776
1871;coal;4917088
1872;coal;5265168
1873;coal;5056260
1874;coal;4653212
1875;coal;5316395
1876;coal;6107888
1877;coal;6184832
1878;coal;6558560
1879;coal;7075184
1880;coal;7822640
1881;coal;7862944
1882;coal;7947216
1883;coal;8800928
1884;coal;8786272
1885;coal;9185648
1886;coal;9357856
1887;coal;9511744
1888;coal;10585203
1889;coal;10306832
1890;coal;9966080
1891;coal;11559813
1892;coal;10944368
1893;coal;11065153
1894;coal;11186192
1895;coal;11164208
1896;coal;12028776
1897;coal;12611488
1898;coal;12417296
1899;coal;12780169
1900;coal;14117392
1901;coal;13758320
1902;coal;13718016
1903;coal;14703632
1904;coal;15608766
1905;coal;16015344
1906;coal;17444304
1907;coal;17964713
1908;coal;18316336
1909;coal;19312944
1910;coal;20225280
1911;coal;21463712
1912;coal;24295984
1913;coal;26893760
1914;coal;24720851
1915;coal;23995536
1916;coal;21932628
1917;coal;8335600
1918;coal;14513100
1919;coal;20697936
1920;coal;20694516
1921;coal;21940032
1922;coal;25735936
1923;coal;25292592
1924;coal;28491264
1925;coal;31525056
1926;coal;31943007
1927;coal;35097456
1928;coal;35200048
1929;coal;38409966
1930;coal;37570656
1931;coal;41424896
1932;coal;38362350
1933;coal;35276992
1934;coal;35507824
1935;coal;33815056
1936;coal;36042768
1937;coal;39377008
1938;coal;38006672
1939;coal;40432240
1940;coal;33437664
1941;coal;36896503
1942;coal;34412288
1943;coal;34749376
1944;coal;23229760
1945;coal;14538752
1946;coal;30707984
1947;coal;36906840
1948;coal;38142947
1949;coal;41095424
1950;coal;42667280
1951;coal;44686144
1952;coal;43807515
1953;coal;43572288
1954;coal;44074256
1955;coal;44291435
1956;coal;44968272
1957;coal;43446519
1958;coal;41908832
1959;coal;39534560
1960;coal;40798640
1961;coal;40300336
1962;coal;42260576
1963;coal;43522741
1964;coal;38127584
1965;coal;35244016
1966;coal;32463040
1967;coal;29733360
1968;coal;27311456
1969;coal;24167744
1970;coal;18803162
1971;coal;13069488
1972;coal;10343472
1973;coal;10332480
1974;coal;11068944
1975;coal;8515136
1976;coal;9225952
1977;coal;9786762
1978;coal;11010320
1979;coal;11717472
1980;coal;12696022
1981;coal;14718288
1982;coal;12838306
1983;coal;20254592
1984;coal;25263280
1985;coal;25260242
1986;coal;23383648
1987;coal;25516096
1988;coal;28330048
1989;coal;30594400
1990;coal;34193213
1991;coal;31654613
1992;coal;31238887
1993;coal;31581532
1994;coal;34654619
1995;coal;34700636
1996;coal;33335746
1997;coal;32503294
1998;coal;33088492
1999;coal;29035507
2000;coal;30337389
2001;coal;32355967
2002;coal;32616862
2003;coal;33694156
2004;coal;33228448
2005;coal;31995032
2006;coal;30441358
2007;coal;32719013
2008;coal;31729445
2009;coal;29238118
