,year,gas,emission
1023,1990,CO2,16378.0
1024,1991,CO2,15898.0
1025,1992,CO2,16598.0
1026,1993,CO2,16318.0
1027,1994,CO2,16652.0
1028,1995,CO2,16651.0
1029,1996,CO2,16814.0
1030,1997,CO2,17086.0
1031,1998,CO2,17386.0
1032,1999,CO2,17951.0
1033,2000,CO2,17976.0
1034,2001,CO2,18159.0
1035,2002,CO2,18519.0
1036,2003,CO2,18703.0
1037,2004,CO2,19139.0
1038,2005,CO2,18941.0
1039,2006,CO2,19003.0
1040,2007,CO2,19220.0
1041,2008,CO2,18895.0
1042,2009,CO2,18848.0
1043,2010,CO2,18905.0
1044,2011,CO2,18923.0
1045,2012,CO2,18841.0
1046,2013,CO2,18648.0
1047,2014,CO2,18539.0
1048,2015,CO2,18581.0
1049,2016,CO2,18105.0
1050,2017,CO2,17252.0
1051,2018,CO2,16639.0
1052,2019,CO2,16507.0
1053,2020,CO2,13115.0
1054,1990,CO,592.8
1055,1991,CO,502.6
1056,1992,CO,475.4
1057,1993,CO,427.0
1058,1994,CO,398.2
1059,1995,CO,379.5
1060,1996,CO,364.5
1061,1997,CO,342.4
1062,1998,CO,323.8
1063,1999,CO,316.1
1064,2000,CO,303.4
1065,2001,CO,304.6
1066,2002,CO,309.7
1067,2003,CO,313.1
1068,2004,CO,314.9
1069,2005,CO,302.9
1070,2006,CO,295.1
1071,2007,CO,291.1
1072,2008,CO,282.5
1073,2009,CO,277.8
1074,2010,CO,274.3
1075,2011,CO,269.5
1076,2012,CO,262.4
1077,2013,CO,254.7
1078,2014,CO,248.5
1079,2015,CO,243.2
1080,2016,CO,268.6
1081,2017,CO,289.6
1082,2018,CO,320.0
1083,2019,CO,321.5
1084,2020,CO,265.0
1085,1990,VOC_emission_by_combustion,105.6
1086,1991,VOC_emission_by_combustion,87.0
1087,1992,VOC_emission_by_combustion,80.0
1088,1993,VOC_emission_by_combustion,69.9
1089,1994,VOC_emission_by_combustion,63.3
1090,1995,VOC_emission_by_combustion,57.5
1091,1996,VOC_emission_by_combustion,52.8
1092,1997,VOC_emission_by_combustion,46.8
1093,1998,VOC_emission_by_combustion,41.7
1094,1999,VOC_emission_by_combustion,37.7
1095,2000,VOC_emission_by_combustion,31.0
1096,2001,VOC_emission_by_combustion,27.9
1097,2002,VOC_emission_by_combustion,25.4
1098,2003,VOC_emission_by_combustion,23.6
1099,2004,VOC_emission_by_combustion,22.2
1100,2005,VOC_emission_by_combustion,20.7
1101,2006,VOC_emission_by_combustion,19.6
1102,2007,VOC_emission_by_combustion,19.1
1103,2008,VOC_emission_by_combustion,18.8
1104,2009,VOC_emission_by_combustion,18.0
1105,2010,VOC_emission_by_combustion,17.4
1106,2011,VOC_emission_by_combustion,17.2
1107,2012,VOC_emission_by_combustion,16.5
1108,2013,VOC_emission_by_combustion,16.1
1109,2014,VOC_emission_by_combustion,15.5
1110,2015,VOC_emission_by_combustion,15.5
1111,2016,VOC_emission_by_combustion,15.2
1112,2017,VOC_emission_by_combustion,15.3
1113,2018,VOC_emission_by_combustion,14.7
1114,2019,VOC_emission_by_combustion,14.7
1115,2020,VOC_emission_by_combustion,14.7
1116,1990,VOC_emission_by_evaporation,34.2
1117,1991,VOC_emission_by_evaporation,30.8
1118,1992,VOC_emission_by_evaporation,28.8
1119,1993,VOC_emission_by_evaporation,25.8
1120,1994,VOC_emission_by_evaporation,23.5
1121,1995,VOC_emission_by_evaporation,20.7
1122,1996,VOC_emission_by_evaporation,18.2
1123,1997,VOC_emission_by_evaporation,16.0
1124,1998,VOC_emission_by_evaporation,13.9
1125,1999,VOC_emission_by_evaporation,12.1
1126,2000,VOC_emission_by_evaporation,9.4
1127,2001,VOC_emission_by_evaporation,7.4
1128,2002,VOC_emission_by_evaporation,5.8
1129,2003,VOC_emission_by_evaporation,4.4
1130,2004,VOC_emission_by_evaporation,3.5
1131,2005,VOC_emission_by_evaporation,2.6
1132,2006,VOC_emission_by_evaporation,2.1
1133,2007,VOC_emission_by_evaporation,1.7
1134,2008,VOC_emission_by_evaporation,1.5
1135,2009,VOC_emission_by_evaporation,1.3
1136,2010,VOC_emission_by_evaporation,1.2
1137,2011,VOC_emission_by_evaporation,1.2
1138,2012,VOC_emission_by_evaporation,1.1
1139,2013,VOC_emission_by_evaporation,1.1
1140,2014,VOC_emission_by_evaporation,1.0
1141,2015,VOC_emission_by_evaporation,1.0
1142,2016,VOC_emission_by_evaporation,1.1
1143,2017,VOC_emission_by_evaporation,1.1
1144,2018,VOC_emission_by_evaporation,1.0
1145,2019,VOC_emission_by_evaporation,1.0
1146,2020,VOC_emission_by_evaporation,1.0
1147,1990,VOC,139.9
1148,1991,VOC,117.7
1149,1992,VOC,108.7
1150,1993,VOC,95.7
1151,1994,VOC,86.8
1152,1995,VOC,78.2
1153,1996,VOC,71.0
1154,1997,VOC,62.7
1155,1998,VOC,55.6
1156,1999,VOC,49.8
1157,2000,VOC,40.4
1158,2001,VOC,35.3
1159,2002,VOC,31.2
1160,2003,VOC,28.0
1161,2004,VOC,25.7
1162,2005,VOC,23.3
1163,2006,VOC,21.7
1164,2007,VOC,20.8
1165,2008,VOC,20.2
1166,2009,VOC,19.3
1167,2010,VOC,18.6
1168,2011,VOC,18.4
1169,2012,VOC,17.6
1170,2013,VOC,17.3
1171,2014,VOC,16.5
1172,2015,VOC,16.5
1173,2016,VOC,16.3
1174,2017,VOC,16.3
1175,2018,VOC,15.7
1176,2019,VOC,15.7
1177,2020,VOC,15.7
1178,1990,CH4,5.2
1179,1991,CH4,4.4
1180,1992,CH4,4.1
1181,1993,CH4,3.7
1182,1994,CH4,3.4
1183,1995,CH4,3.2
1184,1996,CH4,3.0
1185,1997,CH4,2.8
1186,1998,CH4,2.5
1187,1999,CH4,2.4
1188,2000,CH4,2.2
1189,2001,CH4,2.1
1190,2002,CH4,2.1
1191,2003,CH4,2.1
1192,2004,CH4,2.1
1193,2005,CH4,2.0
1194,2006,CH4,2.0
1195,2007,CH4,2.0
1196,2008,CH4,1.9
1197,2009,CH4,1.9
1198,2010,CH4,1.8
1199,2011,CH4,1.8
1200,2012,CH4,1.7
1201,2013,CH4,1.7
1202,2014,CH4,1.7
1203,2015,CH4,1.7
1204,2016,CH4,1.7
1205,2017,CH4,1.7
1206,2018,CH4,1.6
1207,2019,CH4,1.6
1208,2020,CH4,1.6
