Year;Date;Pollutant;Measurement;Index
2013;20131231;pm25;500;medium
2014;20140101;pm25;500;medium
2014;20140102;pm25;500;medium
2014;20140103;pm25;500;medium
2014;20140104;pm25;500;medium
2014;20140105;pm25;500;medium
2014;20140106;pm25;500;medium
2014;20140107;pm25;500;medium
2014;20140108;pm25;500;medium
2014;20140109;pm25;500;medium
2014;20140110;pm25;500;medium
2014;20140111;pm25;500;medium
2014;20140112;pm25;500;medium
2014;20140113;pm25;500;medium
2014;20140114;pm25;500;medium
2014;20140115;pm25;500;medium
2014;20140116;pm25;500;medium
2014;20140117;pm25;500;medium
2014;20140118;pm25;500;medium
2014;20140119;pm25;500;medium
2014;20140120;pm25;500;medium
2014;20140121;pm25;500;medium
2014;20140122;pm25;500;medium
2014;20140123;pm25;500;medium
2014;20140124;pm25;500;medium
2014;20140129;pm25;500;medium
2014;20140130;pm25;500;medium
2014;20140131;pm25;500;medium
2014;20140201;pm25;500;medium
2014;20140202;pm25;500;medium
2014;20140203;pm25;500;medium
2014;20140204;pm25;500;medium
2014;20140205;pm25;500;medium
2014;20140206;pm25;500;medium
2014;20140207;pm25;500;medium
2014;20140208;pm25;500;medium
2014;20140209;pm25;500;medium
2014;20140210;pm25;500;medium
2014;20140211;pm25;500;medium
2014;20140212;pm25;500;medium
2014;20140213;pm25;500;medium
2014;20140214;pm25;500;medium
2014;20140215;pm25;500;medium
2014;20140216;pm25;500;medium
2014;20140217;pm25;500;medium
2014;20140218;pm25;500;medium
2014;20140219;pm25;500;medium
2014;20140220;pm25;500;medium
2014;20140221;pm25;500;medium
2014;20140222;pm25;500;medium
2014;20140223;pm25;500;medium
2014;20140224;pm25;500;medium
2014;20140225;pm25;500;medium
2014;20140226;pm25;500;medium
2014;20140227;pm25;500;medium
2014;20140228;pm25;500;medium
2014;20140301;pm25;500;medium
2014;20140302;pm25;500;medium
2014;20140303;pm25;500;medium
2014;20140304;pm25;500;medium
2014;20140305;pm25;500;medium
2014;20140306;pm25;500;medium
2014;20140307;pm25;500;medium
2014;20140308;pm25;500;medium
2014;20140309;pm25;500;medium
2014;20140310;pm25;500;medium
2014;20140311;pm25;500;medium
2014;20140312;pm25;500;medium
2014;20140313;pm25;500;medium
2014;20140314;pm25;500;medium
2014;20140315;pm25;500;medium
2014;20140316;pm25;500;medium
2014;20140317;pm25;500;medium
2014;20140318;pm25;500;medium
2014;20140319;pm25;500;medium
2014;20140320;pm25;500;medium
2014;20140321;pm25;500;medium
2014;20140322;pm25;500;medium
2014;20140323;pm25;500;medium
2014;20140324;pm25;500;medium
